file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Anonymous2,"compare/2[de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider.FileObjectTuple,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider.FileObjectTuple]",false,410,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"updateCacheIfNecessary/2[javax.swing.text.Document,int]",false,341,3,6,4,2,5,10,24,0,8,2,10,2,6,0,3,0,1,1,1,14,1,1,0,0,0,50,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getMatchingFilesFromOtherSourceRootsButWithinSamePackage/3[de.markiewb.netbeans.plugins.resourcehyperlink.Project,java.lang.String,de.markiewb.netbeans.plugins.resourcehyperlink.FileObject]",false,507,3,4,1,3,9,8,34,2,8,3,8,3,1,2,6,0,0,0,0,9,0,3,0,0,0,57,2,0,true
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"findByClassName/2[de.markiewb.netbeans.plugins.resourcehyperlink.FileObject,java.lang.String]",false,450,4,1,1,0,8,11,30,2,10,2,11,0,0,1,4,0,0,1,2,11,1,2,0,0,0,26,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getFileObjectInASafeManner/2[de.markiewb.netbeans.plugins.resourcehyperlink.FileObject,java.lang.String]",false,574,1,4,4,0,3,1,12,3,1,2,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,33,2,0,true
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"findResources/2[javax.swing.text.Document,int]",false,150,7,5,1,4,14,25,44,7,12,2,25,1,5,1,6,1,3,0,6,12,3,3,0,0,0,34,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getHyperlinkSpan/3[javax.swing.text.Document,int,de.markiewb.netbeans.plugins.resourcehyperlink.HyperlinkType]",false,331,4,2,0,2,2,2,10,2,1,3,2,1,7,0,0,0,0,0,2,1,0,1,0,0,0,13,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getTooltipText/3[javax.swing.text.Document,int,de.markiewb.netbeans.plugins.resourcehyperlink.HyperlinkType]",false,435,4,2,0,2,3,4,12,3,2,3,4,1,7,0,0,0,0,1,1,2,0,1,0,0,0,19,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getAllSourceGroups/1[de.markiewb.netbeans.plugins.resourcehyperlink.Project],false,551,3,2,2,0,1,4,12,1,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"findFiles/2[javax.swing.text.Document,java.lang.String]",false,214,3,7,1,6,15,17,39,1,8,2,17,6,4,0,11,0,0,0,0,9,0,3,0,0,0,39,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getPathOrDefault/1[de.markiewb.netbeans.plugins.resourcehyperlink.FileObject],false,586,1,2,2,0,3,1,10,3,1,1,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0,9,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"isHyperlinkPoint/3[javax.swing.text.Document,int,de.markiewb.netbeans.plugins.resourcehyperlink.HyperlinkType]",false,142,3,2,0,2,2,2,7,2,0,3,2,1,7,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,openInEditor/1[de.markiewb.netbeans.plugins.resourcehyperlink.FileObject],false,104,4,1,1,0,5,6,21,0,3,1,6,0,0,0,3,1,0,0,0,3,0,4,0,0,0,19,9,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getMatchingFileInCurrentDirectory/2[javax.swing.text.Document,java.lang.String]",false,313,2,2,1,1,5,4,17,4,3,2,4,1,1,0,3,0,0,0,0,3,0,1,0,0,0,19,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,ResourceHyperlinkProvider/0,true,127,1,1,0,1,1,3,12,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,14,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"performClickAction/3[javax.swing.text.Document,int,de.markiewb.netbeans.plugins.resourcehyperlink.HyperlinkType]",false,374,5,4,0,4,4,6,16,2,4,3,6,3,8,0,2,0,0,0,0,4,0,2,0,0,0,35,1,0,false
