file,class,method,variable,usage
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,ConfigPanel/1[de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController],cbPartialMatch,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"updateCacheIfNecessary/2[javax.swing.text.Document,int]",LOG,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"updateCacheIfNecessary/2[javax.swing.text.Document,int]",EXPIRE_CACHE_IN_SECONDS,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getAllSourceGroups/1[de.markiewb.netbeans.plugins.resourcehyperlink.Project],MAVEN_TYPE_GEN_SOURCES,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getAllSourceGroups/1[de.markiewb.netbeans.plugins.resourcehyperlink.Project],MAVEN_TYPE_OTHER,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getAllSourceGroups/1[de.markiewb.netbeans.plugins.resourcehyperlink.Project],MAVEN_TYPE_TEST_OTHER,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,ResourceHyperlinkProvider/0,enablePartialMatches,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"partialMatches/2[java.lang.String,de.markiewb.netbeans.plugins.resourcehyperlink.FileObject[]]",enablePartialMatches,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,getPanel/0,panel,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,addPropertyChangeListener/1[java.beans.PropertyChangeListener],pcs,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,changed/0,pcs,2
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,changed/0,changed,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,removePropertyChangeListener/1[java.beans.PropertyChangeListener],pcs,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,isChanged/0,changed,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,update/0,changed,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,"Pair/2[First,Second]",first,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,"Pair/2[First,Second]",second,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,getFirst/0,first,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,getSecond/0,second,1
